	
Key,한국어,English
Language,한국어,English
,,
System_Text_Warning_Start,이미 진행 중인 게임이 있습니다.\n처음부터 다시 시작하시겠습니까?,
,,
Text_Continue_Game,이어서 계속,
Text_Init_Game,처음부터 시작,
,,
Text_Dialoging,대화하기,
Text_Select,선택하기,
Text_Search,탐색하기,
Text_Csi,과학수사,
Text_Note,탐정수첩,
,,
Text_Complish,달성도,
,,
Text_Submit_Evidence,증거물 제출,
Text_Warrant_Title, 체포 영장 청구,
Text_Warrant,영장청구,
Text_Suggest,제시하기,
Text_Case_Select,사건 선택,
Text_Case,사건,
Text_Dialog,대화,
Text_News,뉴스,
Text_Evidence,단서,
Text_Log,기록,
Text_Analyzed,분석,
Text_Matched,비교,
,,
Text_Analysis_Ready,분석 대기 중,
Text_Analysis_Do,분석 중,
,,
Text_MatchedResult,비교 분석 검사 결과,
Text_Warrant_Case,체포 청구 사건,
Text_Warrant_Evidence,체포 청구 근거,
Text_Criminal_List,용의자 목록,
Text_ReservationList,예약 목록,
,,
Text_Remain_Time,남은 시간 : {0}분,
,,
Text_Analyze,분석하기,
Text_Analyzing,분석 중...,
Text_Match,비교하기,
Text_Matching,비교 중...,
,,
Text_Back, 뒤로가기,
,,
Text_StartGame,사건 현장으로 이동,
Text_DetectiveBoard,사건 기록,
,,
Text_World_Info_00,  외부인의 유입이 많지 않은 작은 도시.\n\n  술에 취해 난동을 피우는 것이 사건이라고 부를만한 도시에서 살인 사건이 발생한다.\n\n  지역 경찰은 범인을 잡기 위해 탐정 협회에 의뢰를 해왔다.,
Text_World_Info_01, 2번 도시 설명,
Text_World_Info_02, 3번 도시 설명,
,,
Text_World_Title_00, 미국 동부 도시,
Text_World_Title_01, 영국 해안 도시,
Text_World_Title_02, 3번 도시,
,,
Text_World_Lock_0, 언락 조건 1,
Text_World_Lock_1, 미국 동부 도시 달성도 30% 이상,
Text_World_Lock_2, 언락 조건 3,
Text_World_Lock_3, 언락 조건 4,
,,
System_Text_RefreshCaseList,사건 수첩에 사건 내용이 추가 되었습니다,
System_Text_AddEvidence,사건 수첩에 증거물 {0}이(가) 추가 되었습니다.,
System_Text_MoveNewsToReadNewsList,해당 뉴스 기사는 사건 수첩으로 옮겨졌습니다.,
System_Text_StartAnalzed,{0}의 분석을 시작합니다..,
System_Text_AddAnalzedReservation,{0}을 분석 대기열에 등록합니다.,
System_Text_RemoveAnalzedReservation,{0}을 분석 대기열에서 제거합니다.,
System_Text_CompleteAnalzed,{0}의 분석이 끝났습니다.,
System_Text_CompleteMatched,{0}과 {1}의 검사가 끝났습니다.,
System_Text_Already_Input_Evidence,이미 제출한 증거물입니다.,
System_Text_Not_Use_Phone,이 지역에서는 핸드폰을 사용 할 수 없습니다.,
System_Text_Already_Search,지금은 눈에 띄는 게 없다.,
System_Text_Not_Have_UnreadNews,모든 뉴스를 읽었습니다.,
,,
,,
System_Text_Note_Analyzed_Possible,분석 가능,
System_Text_Note_Analyzed_Complete,분석 완료,
System_Text_Note_Analyzed_Impossible,분석 불가능,
,,
,,
System_Text_Exit_Game,사건을 포기하시겠습니까?\n진행 중인 사건 데이터는 저장되지 않습니다.,
System_Text_Exit_Y,예.,
System_Text_Exit_N,아니오.,
,,
,,
System_Text_Note_Matched_Possible,성분 비교 분석 가능,
System_Text_Note_Matched_Impossible,성분 비교 분석 불가능,
System_Text_Matched_Impossible_Same_Type,보고서끼리는 성분 분석을 할 수 없습니다. ,
System_Text_Note_Evidence_RemainTime,소요시간: {0}분,
System_Text_Lab_OperatingTime,과학 분석 연구소 운영시간 09:00~24:00,
System_Text_Match_Result_Success,{0}와 {1}의 성분 비교 결과 완전히 일치합니다.,
System_Text_Match_Result_Fail,{0}와 {1}의 성분 비교 결과 일치하지 않습니다.,
,,
System_Text_Not_Select_Case,지목한 사건이 없습니다.,
System_Text_Not_Select_NPC,지목한 대상이 없습니다.,
System_Text_Not_Select_Evidence,선택한 증거물이 없습니다.,
,,
Analzed_RemainHour,{0}시간 남았습니다.,
Analzed_RemainHourMinute,{0}시간 {1}분 남았습니다.,
,,
Analzed_NeedHour,소요시간: {0}시간,
