Key,한국어,English
Language,한국어,English
,,
DialogItem_Title_Label,{0}와의 대화,
DialogItem_Teacher_Title_Label,용의자 {0}의 학창 시절,
SearchItem_Suspect_Title_Label,용의자 {0} 집 탐색 결과,
,,
SystemMessage_GetItem,증거물 {0}을 발견했다.,
SystemMessage_NewCase,{0}에서 사건이 발생했습니다.,
,,
SystemText_PatrolReinforce,{0}의 순찰 강화를 시작할까요?,
,,
Unknown,???,???
Police,경찰관 빅터,Victor
Richard,탐정 협회의 라차드,Richard
Person,주민,Person
,,
AlreadyPolicePatrol,이미 경찰이 순찰 중입니다.,
UnselectedSuspect,선택한 용의자가 없습니다.,
WarrantConfirm,용의자 {0} 을(를) 체포하시겠습니까?,
NotSelectEvidenceOrRecord,선택한 증거물 혹은 기록이 없습니다.,
LeftUICaseBtn,사건 수첩,
LeftUISuspectBtn,용의자 정보,
LeftUIPoliceBtn,경찰서,
LeftUIAssoicationBtn,탐정 협회,
Close,닫기,Close
NotHaveCaseItem,아직 발생한 사건이 없습니다,
NotHaveRecordItem,아직 가지고 있는 기록이 없습니다,
NotHaveEvidenceItem,아직 가지고 있는 단서가 없습니다,
NotHaveNewsItem,아직 확인한 뉴스가 없습니다,
,,
,,
PoliceCaseInquiry,사건 조회,
PoliceSuspectInquiry,용의자 조회,
PolicePatrol,지역 순찰 강화,
PoliceWarrnt,범인 체포,
,,
HomeNamePlate,{0}의 집,
,,
Male,남성,
Female,여성,
,,
Race0,백인,
Race1,흑인,
Race2,황인,
Race3,아랍인,
Race4,라틴,
,,
Stage0_Dialog_Richard_0_0_0,실례하겠습니다. 어제 연락 드렸던 탐정 협회의 리차드라 합니다.,
Stage0_Dialog_Richard_0_0_1,어제 전화상으로 말씀드렸던대로 위험한 사건이 발생했습니다. 추가적인 살해 범죄가 발생할 것 같아 탐정님께서 가셔서 해결을 해주셔야겠습니다.,
Stage0_Dialog_Richard_End_0_0,시간이 없습니다. 서둘러주세요.,
,,
,,
Stage1_Main_Area_0,작은섬,
Stage1_Main_Area_1,남부지역,
Stage1_Main_Area_2,대학가,
Stage1_Main_Area_3,북부지역,
Stage1_Main_Area_4,도심가,
Stage1_Main_Area_5,수산시장,
Stage1_Main_Area_6,항구,
Stage1_Main_Area_7,고급식당가,
,,
Stage1_Main_Company_A0,아이러브펫,
Stage1_Main_Company_A1,대기업 A,
Stage1_Main_Company_A2,퀵 마트,
Stage1_Main_Company_A3,패스트 무브,
Stage1_Main_Company_A4,블리자드,
Stage1_Main_Company_A5,블랙퍼 비어,
Stage1_Main_Company_A6,미국식 한정식,
Stage1_Main_Company_A7,포이즌 제약,
,,
Stage1_Main_Job_A0,동물 병원 의사,
Stage1_Main_Job_A1,A 기업 과장,
Stage1_Main_Job_A2,편의점 직원,
Stage1_Main_Job_A3,운송 회사 직원,
Stage1_Main_Job_A4,항구 보관소 직원,
Stage1_Main_Job_A5,디자이너,
Stage1_Main_Job_A6,프로그래머,
Stage1_Main_Job_A7,요리사,
Stage1_Main_Job_A8,B 제약 회사 사장,
,,
Stage1_Main_Npc_A0,리키,Ricky
Stage1_Main_Npc_A1,조이,Joe
Stage1_Main_Npc_A2,제시,Jessi
Stage1_Main_Npc_A3,지미,Jimmy
Stage1_Main_Npc_A4,빌리,Billy
Stage1_Main_Npc_A5,라인하르트 ,Reinhardt
,,
Stage1_Main_Npc_B0,동물병원 의사 조엘,Joel
Stage1_Main_Npc_B1,요리사 윌리엄,William
Stage1_Main_Npc_B2,요리사 조던,Jordern
Stage1_Main_Npc_B3,요리사 베넷,Bernet
Stage1_Main_Npc_B4,부장 꼴리오네,Corleone
Stage1_Main_Npc_B5,바텐더 라인하르트,Reinhardt
Stage1_Main_Npc_B6,바텐더 조,Joe
Stage1_Main_Npc_B7,편의점 점주 랄프,Ralf
,,
Stage1_Main_Npc_C0,고등학교 선생님 엘렌,
Stage1_Main_Npc_C1,대학교수 메리,
Stage1_Main_Npc_C2,토미,Tomy
Stage1_Main_Npc_C3,조슈아,Joshua
Stage1_Main_Npc_C4,노아,Noa
Stage1_Main_Npc_C5,루카스,Lucas
